gender,pace_5k_sec,time_5k_sec,finish_time_sec,age
1,264.0,1318.0,5655,31.0
1,262.0,1308.0,5663,49.0
1,254.0,1269.0,5663,43.0
1,259.0,1295.0,5664,43.0
1,272.0,1362.0,5665,43.0
1,259.0,1296.0,5665,47.0
1,262.0,1308.0,5666,31.0
1,267.0,1334.0,5667,25.0
1,262.0,1311.0,5668,28.0
1,265.0,1326.0,5668,30.0
0,258.0,1290.0,5669,27.0
1,271.0,1357.0,5670,34.5
1,268.0,1339.0,5671,27.0
1,263.0,1317.0,5672,41.0
1,265.0,1324.0,5675,49.0
1,258.0,1292.0,5676,52.0
1,252.0,1258.0,5679,34.5
1,251.0,1256.0,5680,36.0
1,262.0,1310.0,5680,60.0
1,266.0,1330.0,5680,35.0
1,270.0,1350.0,5680,49.0
1,264.0,1319.0,5681,44.0
1,271.0,1357.0,5682,36.0
1,271.0,1355.0,5682,37.0
1,256.0,1279.0,5683,36.0
1,261.0,1307.0,5684,45.0
1,261.0,1305.0,5684,34.0
0,249.0,1243.0,5685,45.0
1,271.0,1357.0,5685,51.0
1,262.0,1308.0,5686,30.0
1,267.0,1337.0,5688,29.0
0,262.0,1312.0,5689,42.0
1,275.0,1377.0,5689,35.0
1,238.0,1191.0,5690,37.0
1,263.0,1314.0,5692,44.0
1,258.0,1288.0,5693,31.0
1,249.0,1246.0,5694,41.0
1,271.0,1357.0,5695,47.0
1,247.0,1235.0,5695,45.0
1,264.0,1318.0,5696,49.0
1,271.0,1357.0,5696,48.0
1,268.0,1342.0,5698,40.0
1,270.0,1352.0,5701,19.0
1,260.0,1298.0,5703,36.0
1,266.0,1329.0,5703,48.0
0,266.0,1331.0,5706,31.0
1,266.0,1330.0,5707,41.0
1,259.0,1294.0,5708,43.0
1,261.0,1303.0,5708,53.0
1,264.0,1321.0,5709,36.0
1,278.0,1392.0,5709,31.0
1,262.0,1309.0,5709,46.0
1,260.0,1299.0,5709,40.0
1,256.0,1281.0,5710,31.0
1,265.0,1326.0,5711,36.0
0,262.0,1308.0,5711,32.0
1,256.0,1281.0,5713,31.0
1,264.0,1321.0,5716,36.0
1,271.0,1357.0,5717,23.0
1,264.0,1318.0,5718,51.0
1,260.0,1301.0,5719,38.0
1,270.0,1348.0,5721,30.0
1,274.0,1372.0,5722,37.0
1,257.0,1284.0,5722,51.0
0,271.0,1357.0,5723,44.0
1,243.0,1215.0,5724,44.0
1,269.0,1345.0,5724,56.0
1,260.0,1300.0,5726,46.0
1,262.0,1309.0,5727,29.0
1,266.0,1329.0,5729,27.0
1,273.0,1364.0,5729,30.0
1,270.0,1348.0,5730,36.0
1,275.0,1375.0,5730,41.0
1,276.0,1382.0,5730,34.0
1,277.0,1386.0,5730,36.0
1,274.0,1370.0,5732,44.0
1,267.0,1333.0,5733,42.0
1,262.0,1309.0,5733,41.0
0,250.0,1250.0,5733,20.0
1,263.0,1315.0,5733,33.0
1,268.0,1339.0,5734,30.0
1,260.0,1300.0,5735,41.0
1,272.0,1360.0,5735,42.0
1,266.0,1328.0,5736,38.0
1,274.0,1370.0,5738,31.0
1,247.0,1235.0,5739,22.0
1,246.0,1232.0,5739,43.0
1,260.0,1299.0,5741,37.0
1,269.0,1343.0,5743,34.0
0,257.0,1286.0,5744,35.0
1,279.0,1393.0,5748,26.0
1,278.0,1389.0,5749,26.0
1,273.0,1366.0,5751,34.0
1,260.0,1299.0,5751,20.0
1,266.0,1328.0,5752,49.0
1,263.0,1315.0,5752,32.0
1,283.0,1413.0,5753,24.0
1,262.0,1312.0,5755,42.0
1,271.0,1354.0,5755,40.0
1,280.0,1398.0,5757,34.5
1,264.0,1318.0,5757,43.0
1,267.0,1334.0,5762,36.0
1,251.0,1253.0,5765,38.0
0,267.0,1337.0,5765,48.0
1,264.0,1319.0,5766,32.0
1,286.0,1430.0,5770,28.0
1,250.0,1250.0,5770,41.0
1,264.0,1319.0,5770,55.0
0,267.0,1335.0,5771,30.0
1,265.0,1324.0,5774,37.0
1,271.0,1355.0,5776,38.0
1,269.0,1344.0,5776,32.0
1,257.0,1283.0,5776,31.0
1,258.0,1290.0,5781,49.0
1,274.0,1369.0,5781,34.0
1,272.0,1362.0,5784,37.0
1,257.0,1286.0,5784,68.0
0,269.0,1343.0,5784,42.0
1,257.0,1287.0,5784,39.0
1,248.0,1238.0,5785,32.0
1,264.0,1318.0,5786,32.0
1,272.0,1359.0,5787,39.0
1,272.0,1359.0,5787,24.0
1,254.0,1272.0,5787,38.0
1,260.0,1301.0,5790,52.0
1,279.0,1395.0,5790,35.0
1,275.0,1376.0,5791,49.0
1,266.0,1332.0,5791,39.0
1,264.0,1320.0,5791,37.0
1,259.0,1295.0,5792,35.0
1,265.0,1326.0,5792,49.0
1,256.0,1282.0,5793,38.0
1,268.0,1341.0,5793,41.0
0,269.0,1344.0,5793,26.0
1,273.0,1364.0,5795,36.0
1,272.0,1360.0,5796,61.0
0,257.0,1284.0,5798,44.0
1,268.0,1341.0,5799,38.0
1,262.0,1312.0,5801,47.0
1,260.0,1301.0,5803,55.0
1,271.0,1356.0,5804,32.0
1,266.0,1332.0,5804,41.0
1,270.0,1352.0,5804,51.0
1,268.0,1339.0,5805,34.5
1,247.0,1233.0,5805,27.0
1,272.0,1359.0,5806,21.0
1,264.0,1321.0,5807,44.0
1,264.0,1322.0,5809,39.0
1,271.0,1355.0,5810,29.0
1,269.0,1347.0,5812,38.0
1,274.0,1371.0,5817,41.0
1,266.0,1328.0,5817,45.0
1,270.0,1349.0,5817,42.0
1,268.0,1338.0,5817,29.0
1,278.0,1392.0,5817,35.0
1,263.0,1313.0,5818,45.0
1,264.0,1322.0,5818,40.0
1,,,5821,35.0
1,261.0,1304.0,5821,50.0
1,271.0,1353.0,5821,50.0
1,269.0,1347.0,5821,31.0
1,271.0,1354.0,5821,24.0
1,273.0,1366.0,5823,46.0
1,284.0,1422.0,5825,41.0
0,260.0,1302.0,5826,36.0
1,270.0,1352.0,5827,44.0
1,248.0,1242.0,5827,35.0
1,275.0,1374.0,5829,48.0
1,264.0,1322.0,5829,30.0
1,273.0,1367.0,5831,37.0
1,257.0,1286.0,5831,29.0
1,274.0,1369.0,5834,39.0
1,273.0,1367.0,5835,44.0
1,262.0,1312.0,5836,29.0
1,274.0,1370.0,5837,31.0
1,264.0,1321.0,5840,48.0
1,264.0,1320.0,5843,18.0
1,276.0,1381.0,5843,43.0
1,274.0,1372.0,5844,38.0
1,269.0,1343.0,5847,29.0
1,280.0,1398.0,5847,29.0
1,269.0,1343.0,5847,27.0
1,256.0,1280.0,5848,23.0
1,266.0,1329.0,5848,30.0
1,280.0,1398.0,5848,41.0
1,276.0,1378.0,5850,20.0
1,272.0,1359.0,5850,45.0
1,263.0,1317.0,5851,46.0
1,273.0,1366.0,5852,54.0
1,263.0,1316.0,5854,31.0
1,267.0,1337.0,5855,45.0
1,255.0,1273.0,5855,32.0
1,259.0,1294.0,5856,41.0
1,266.0,1331.0,5856,51.0
1,266.0,1330.0,5857,40.0
1,279.0,1394.0,5859,41.0
1,269.0,1343.0,5861,38.0
1,263.0,1313.0,5863,27.0
1,277.0,1384.0,5863,47.0
1,273.0,1366.0,5864,47.0
1,266.0,1329.0,5866,28.0
0,265.0,1325.0,5867,33.0
1,275.0,1373.0,5868,36.0
1,274.0,1371.0,5868,48.0
1,271.0,1355.0,5869,33.0
0,267.0,1335.0,5870,40.0
0,264.0,1318.0,5870,47.0
1,263.0,1314.0,5871,46.0
1,269.0,1346.0,5873,27.0
1,272.0,1362.0,5874,26.0
1,264.0,1321.0,5874,47.0
